JDCT ,   , X, Y, Z, VX, VY, VZ, LT, RG, RR,
*******************************************************************************
$$SOE
2457356.500000000, A.D. 2015-Nov-30 00:00:00.0000,  6.162842441775081E+07,  1.266139686860189E+08,  5.373726356630743E+07, -2.840547338835665E+01,  9.919899035952611E+00,  3.937308340699538E+00,  5.027515097056915E+02,  1.507211108578801E+08, -1.877683930282743E+00,
2457357.500000000, A.D. 2015-Dec-01 00:00:00.0000,  5.916532531987137E+07,  1.274526460531904E+08,  5.406965317963183E+07, -2.860944598175106E+01,  9.493231469389860E+00,  3.756616296445216E+00,  5.022132875498326E+02,  1.505597559148251E+08, -1.857274318662427E+00,
2457358.500000000, A.D. 2015-Dec-02 00:00:00.0000,  5.668493214573973E+07,  1.282542802318612E+08,  5.438635930902844E+07, -2.880577997217289E+01,  9.062437201462009E+00,  3.574273140765213E+00,  5.016810424534226E+02,  1.504001928491139E+08, -1.836205221376059E+00,
2457359.500000000, A.D. 2015-Dec-03 00:00:00.0000,  5.418790983308741E+07,  1.290185197445125E+08,  5.468724149763385E+07, -2.899436082285630E+01,  8.627634112844982E+00,  3.390330004878014E+00,  5.011549645217935E+02,  1.502424786528913E+08, -1.814476401822432E+00,
2457360.500000000, A.D. 2015-Dec-04 00:00:00.0000,  5.167493312722796E+07,  1.297450234360782E+08,  5.497216376449756E+07, -2.917507606320757E+01,  8.188943265662425E+00,  3.204839366024067E+00,  5.006352438808135E+02,  1.500866703244585E+08, -1.792087955436100E+00,
2457361.500000000, A.D. 2015-Dec-05 00:00:00.0000,  4.914668639729784E+07,  1.304334607480125E+08,  5.524099472070754E+07, -2.934781541078265E+01,  7.746488883991284E+00,  3.017855043453904E+00,  5.001220705800040E+02,  1.499328248392289E+08, -1.769040317993347E+00,
2457362.500000000, A.D. 2015-Dec-06 00:00:00.0000,  4.660386344180325E+07,  1.310835119904881E+08,  5.549360768515642E+07, -2.951247089673828E+01,  7.300398330201414E+00,  2.829432194147584E+00,  4.996156344932831E+02,  1.497809991199709E+08, -1.745334273583797E+00,
2457363.500000000, A.D. 2015-Dec-07 00:00:00.0000,  4.404716728320358E+07,  1.316948686123858E+08,  5.572988079993059E+07, -2.966893699404833E+01,  6.850802077508546E+00,  2.639627308382951E+00,  4.991161252175863E+02,  1.496312500064160E+08, -1.720970961221409E+00,
2457364.500000000, A.D. 2015-Dec-08 00:00:00.0000,  4.147730995131988E+07,  1.322672334687574E+08,  5.594969714531335E+07, -2.981711074787572E+01,  6.397833678978594E+00,  2.448498205248336E+00,  4.986237319698760E+02,  1.494836342243823E+08, -1.695951879292035E+00,
2457365.500000000, A.D. 2015-Dec-09 00:00:00.0000,  3.889501225540590E+07,  1.328003210854654E+08,  5.615294485440174E+07, -2.995689190754991E+01,  5.941629733239479E+00,  2.256104028207565E+00,  4.981386434832693E+02,  1.493382083546350E+08, -1.670278887093650E+00,
2457366.500000000, A.D. 2015-Dec-10 00:00:00.0000,  3.630100354476831E+07,  1.332938579207330E+08,  5.633951722734609E+07, -3.008818305953298E+01,  5.482329847298146E+00,  2.062505240811898E+00,  4.976610479032385E+02,  1.491950288017676E+08, -1.643954202650164E+00,
2457367.500000000, A.D. 2015-Dec-11 00:00:00.0000,  3.369602145788579E+07,  1.337475826233761E+08,  5.650931284522595E+07, -3.021088976051735E+01,  5.020076597070374E+00,  1.867763622554937E+00,  4.971911326850902E+02,  1.490541517634673E+08, -1.616980395852691E+00,
2457368.500000000, A.D. 2015-Dec-12 00:00:00.0000,  3.108081166006653E+07,  1.341612462875558E+08,  5.666223568356632E+07, -3.032492066938054E+01,  4.555015486422566E+00,  1.671942264622523E+00,  4.967290844942150E+02,  1.489156332006104E+08, -1.589360375936536E+00,
2457369.500000000, A.D. 2015-Dec-13 00:00:00.0000,  2.845612756981771E+07,  1.345346127039569E+08,  5.679819522545984E+07, -3.043018767618571E+01,  4.087294905558485E+00,  1.475105564854759E+00,  4.962750891108599E+02,  1.487795288087137E+08, -1.561097372533705E+00,
2457370.500000000, A.D. 2015-Dec-14 00:00:00.0000,  2.582273007427852E+07,  1.348674586073653E+08,  5.691710657417496E+07, -3.052660602591995E+01,  3.617066089256364E+00,  1.277319220617723E+00,  4.958293313413024E+02,  1.486458939913055E+08, -1.532194910291087E+00,
2457371.500000000, A.D. 2015-Dec-15 00:00:00.0000,  2.318138723427896E+07,  1.351595739206181E+08,  5.701889056498904E+07, -3.061409443451877E+01,  3.144483074529807E+00,  1.078650217606917E+00,  4.953919949371129E+02,  1.485147838357206E+08, -1.502656778536911E+00,
2457372.500000000, A.D. 2015-Dec-16 00:00:00.0000,  2.053287397977598E+07,  1.354107619948044E+08,  5.710347387579308E+07, -3.069257519541853E+01,  2.669702655595345E+00,  8.791668122233599E-01,  4.949632625234572E+02,  1.483862530916065E+08, -1.472486999718619E+00,
2457373.500000000, A.D. 2015-Dec-17 00:00:00.0000,  1.787797179649302E+07,  1.356208398453087E+08,  5.717078913582523E+07, -3.076197427692989E+01,  2.192884331809827E+00,  6.789385056971301E-01,  4.945433155359563E+02,  1.482603561519939E+08, -1.441689802762904E+00,
2457374.500000000, A.D. 2015-Dec-18 00:00:00.0000,  1.521746840442019E+07,  1.357896383828380E+08,  5.722077503181163E+07, -3.082222141426822E+01,  1.714190242514378E+00,  4.780360102868540E-01,  4.941323341636331E+02,  1.481371470361929E+08, -1.410269608624786E+00,
2457375.500000000, A.D. 2015-Dec-19 00:00:00.0000,  1.255215742832411E+07,  1.359170026380477E+08,  5.725337641097941E+07, -3.087325020404713E+01,  1.233785083409914E+00,  2.765312117436242E-01,  4.937304972936218E+02,  1.480166793732172E+08, -1.378231032861563E+00,
2457376.500000000, A.D. 2015-Dec-20 00:00:00.0000,  9.882838059640791E+06,  1.360027919780987E+08,  5.726854438095055E+07, -3.091499821071877E+01,  7.518360039328832E-01,  7.449713623677898E-02,  4.933379824528560E+02,  1.478990063843026E+08, -1.345578902782825E+00,
2457377.500000000, A.D. 2015-Dec-21 00:00:00.0000,  7.210314708422431E+06,  1.360468803137720E+08,  5.726623640730613E+07, -3.094740709065780E+01,  2.685124932834592E-01, -1.279920692179852E-01,  4.929549657440803E+02,  1.477841808637236E+08, -1.312318276945722E+00,
2457378.500000000, A.D. 2015-Dec-22 00:00:00.0000,  4.535396643895940E+06,  1.360491562967500E+08,  5.724641641021817E+07, -3.097042273013021E+01, -2.160137306330782E-01, -3.308611388282923E-01,  4.925816217780435E+02,  1.476722551584660E+08, -1.278454449254172E+00,
