JDCT ,   , X, Y, Z, VX, VY, VZ, LT, RG, RR,
*******************************************************************************
$$SOE
2457360.500000000, A.D. 2015-Dec-04 00:00:00.0000,  4.343027235922727E+06,  1.609480979254876E+06, -5.758406594655549E+05, -4.798226378495241E-01, -4.914229648428685E-01, -5.572172287473012E-01,  1.556851483314296E+01,  4.667323329237387E+06, -5.471980796381405E-01,
2457361.500000000, A.D. 2015-Dec-05 00:00:00.0000,  4.301346273117464E+06,  1.567748512051221E+06, -6.234650460365119E+05, -4.851305365286427E-01, -4.744725281796490E-01, -5.450313418428985E-01,  1.541200543962712E+01,  4.620402993455184E+06, -5.390785258841111E-01,
2457362.500000000, A.D. 2015-Dec-06 00:00:00.0000,  4.259172884041081E+06,  1.527463717365913E+06, -6.700400858183939E+05, -4.912214143150426E-01, -4.579137880958822E-01, -5.329290472912297E-01,  1.525765079858341E+01,  4.574128636212981E+06, -5.322455912264145E-01,
2457363.500000000, A.D. 2015-Dec-07 00:00:00.0000,  4.216437385917963E+06,  1.488591674493179E+06, -7.155734034279953E+05, -4.981422491931483E-01, -4.417732310005629E-01, -5.209203896657073E-01,  1.510507528801524E+01,  4.528387648869147E+06, -5.267324631830431E-01,
2457364.500000000, A.D. 2015-Dec-08 00:00:00.0000,  4.173066022970475E+06,  1.451094824803151E+06, -7.600735966415585E+05, -5.059406514618606E-01, -4.260858689544522E-01, -5.090179858025524E-01,  1.495389382816643E+01,  4.483064587417043E+06, -5.225719069423871E-01,
2457365.500000000, A.D. 2015-Dec-09 00:00:00.0000,  4.128980864373286E+06,  1.414932096334423E+06, -8.035505043007175E+05, -5.146655838605305E-01, -4.108986822726158E-01, -4.972381596575928E-01,  1.480371179880273E+01,  4.438041147686671E+06, -5.197973679114538E-01,
2457366.500000000, A.D. 2015-Dec-10 00:00:00.0000,  4.084099747293112E+06,  1.380057686309231E+06, -8.460155875995732E+05, -5.243654968108867E-01, -3.962749072752845E-01, -4.856023701983148E-01,  1.465412495973224E+01,  4.393196141517278E+06, -5.184416941014636E-01,
2457367.500000000, A.D. 2015-Dec-11 00:00:00.0000,  4.038336507796790E+06,  1.346419481547195E+06, -8.874824326442675E+05, -5.350835157704071E-01, -3.822978960921783E-01, -4.741385130606459E-01,  1.450472016977178E+01,  4.348405712298058E+06, -5.185328094272722E-01,
2457368.500000000, A.D. 2015-Dec-12 00:00:00.0000,  3.991601747912386E+06,  1.313957215921460E+06, -9.279673427802018E+05, -5.468499534281388E-01, -3.690731024135232E-01, -4.628816162321594E-01,  1.435507780213685E+01,  4.303544059083844E+06, -5.200863385857966E-01,
2457369.500000000, A.D. 2015-Dec-13 00:00:00.0000,  3.943804329814190E+06,  1.282600584821797E+06, -9.674899489224588E+05, -5.596732098011556E-01, -3.567269154725877E-01, -4.518735017688100E-01,  1.420477662966693E+01,  4.258484901148804E+06, -5.230960679829970E-01,
