*******************************************************************************
Ephemeris / WWW_USER Wed Feb 24 01:44:04 2016 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: 3552 Don Quixote (1983 SA)      {source: JPL#129}
Center body name: Sun (10)                        {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1983-Sep-01 00:00:00.0000 TDB
Stop  time      : A.D. 2016-Mar-20 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Small perturbers: Yes                             {source: SB431-BIG16}
Output units    : KM-S                                                         
Output format   : 02
Reference frame : ICRF/J2000.0                                                 
Output type     : GEOMETRIC cartesian states
Coordinate systm: Earth Mean Equator and Equinox of Reference Epoch            
*******************************************************************************
Initial FK5/J2000.0 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2454981.5 ! 2009-May-30.00 (TDB)         Residual RMS= .36171        
   EC= .7138591939946456   QR= 1.208904750718783   TP= 2455083.114208498       
   OM= 350.2678783992935   W=  317.1118412185904   IN= 30.96837943826426       
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 9.5                ROTPER= 7.7                 
   H= 12.9                 G= .150                 B-V= n.a.                   
                           ALBEDO= .030            STYP= D                     
*******************************************************************************
JDTDB,   , X, Y, Z, VX, VY, VZ,
*******************************************************************************
$$SOE
2445610.500000000, A.D. 1983-Oct-03 00:00:00.0000,  2.218323236426708E+08, -3.355294571138467E+05,  3.052016508168882E+07,  9.278007826983059E+00,  1.695020970588505E+01,  2.453673317989812E+01,
2445611.500000000, A.D. 1983-Oct-04 00:00:00.0000,  2.226241916391707E+08,  1.128962197129427E+06,  3.263876782576491E+07,  9.052680503336434E+00,  1.694981355602468E+01,  2.450471635356941E+01,
2445612.500000000, A.D. 1983-Oct-05 00:00:00.0000,  2.233966978157750E+08,  2.593356344627507E+06,  3.475453241947948E+07,  8.829817775283582E+00,  1.694795971862713E+01,  2.447104503903381E+01,
2445613.500000000, A.D. 1983-Oct-06 00:00:00.0000,  2.241500551453041E+08,  4.057528874946116E+06,  3.686731843373750E+07,  8.609420077775720E+00,  1.694469052561651E+01,  2.443577733773530E+01,
2445614.500000000, A.D. 1983-Oct-07 00:00:00.0000,  2.248844765616709E+08,  5.521359304689059E+06,  3.897699040701947E+07,  8.391486090663211E+00,  1.694004760135027E+01,  2.439897013657632E+01,
2445615.500000000, A.D. 1983-Oct-08 00:00:00.0000,  2.256001748122086E+08,  6.984730715642789E+06,  4.108341774001731E+07,  8.176012830168698E+00,  1.693407184635600E+01,  2.436067909854412E+01,
2445616.500000000, A.D. 1983-Oct-09 00:00:00.0000,  2.262973623177985E+08,  8.447529691627989E+06,  4.318647458959376E+07,  7.962995737946679E+00,  1.692680342363614E+01,  2.432095865638664E+01,
2445617.500000000, A.D. 1983-Oct-10 00:00:00.0000,  2.269762510405838E+08,  9.909646254273081E+06,  4.528603976231958E+07,  7.752428767610848E+00,  1.691828174738131E+01,  2.427986200913188E+01,
2445618.500000000, A.D. 1983-Oct-11 00:00:00.0000,  2.276370523590468E+08,  1.137097379791037E+07,  4.738199660782532E+07,  7.544304468647395E+00,  1.690854547391906E+01,  2.423744112123970E+01,
2445619.500000000, A.D. 1983-Oct-12 00:00:00.0000,  2.282799769502218E+08,  1.283140902378070E+07,  4.947423291218607E+07,  7.338614067653579E+00,  1.689763249473020E+01,  2.419374672418204E+01,
2445620.500000000, A.D. 1983-Oct-13 00:00:00.0000,  2.289052346788091E+08,  1.429085187371817E+07,  5.156264079154070E+07,  7.135347546877939E+00,  1.688557993137201E+01,  2.414882832025399E+01,
2445621.500000000, A.D. 1983-Oct-14 00:00:00.0000,  2.295130344929593E+08,  1.574920546347323E+07,  5.364711658612969E+07,  6.934493720051841E+00,  1.687242413215717E+01,  2.410273418842810E+01,
2445622.500000000, A.D. 1983-Oct-15 00:00:00.0000,  2.301035843264919E+08,  1.720637601581945E+07,  5.572756075492081E+07,  6.736040305524246E+00,  1.685820067044940E+01,  2.405551139207485E+01,
2445623.500000000, A.D. 1983-Oct-16 00:00:00.0000,  2.306770910073172E+08,  1.866227279357844E+07,  5.780387777097645E+07,  6.539973996719426E+00,  1.684294434444871E+01,  2.400720578838348E+01,
2445624.500000000, A.D. 1983-Oct-17 00:00:00.0000,  2.312337601718315E+08,  2.011680803268621E+07,  5.987597601770268E+07,  6.346280529948749E+00,  1.682668917834989E+01,  2.395786203932826E+01,
2445625.500000000, A.D. 1983-Oct-18 00:00:00.0000,  2.317737961850575E+08,  2.156989687541512E+07,  6.194376768610729E+07,  6.154944749610618E+00,  1.680946842476575E+01,  2.390752362403473E+01,
2445626.500000000, A.D. 1983-Oct-19 00:00:00.0000,  2.322974020663069E+08,  2.302145730385612E+07,  6.400716867318194E+07,  5.965950670819121E+00,  1.679131456831579E+01,  2.385623285241018E+01,
2445627.500000000, A.D. 1983-Oct-20 00:00:00.0000,  2.328047794201452E+08,  2.447141007375806E+07,  6.606609848151179E+07,  5.779281539504034E+00,  1.677225933028547E+01,  2.380403087991037E+01,
2445628.500000000, A.D. 1983-Oct-21 00:00:00.0000,  2.332961283724400E+08,  2.591967864881262E+07,  6.812048012020592E+07,  5.594919890028131E+00,  1.675233367426820E+01,  2.375095772332299E+01,
2445629.500000000, A.D. 1983-Oct-22 00:00:00.0000,  2.337716475112840E+08,  2.736618913546602E+07,  7.017024000723112E+07,  5.412847600370500E+00,  1.673156781270546E+01,  2.369705227745482E+01,
2445630.500000000, A.D. 1983-Oct-23 00:00:00.0000,  2.342315338325801E+08,  2.881087021833184E+07,  7.221530787322271E+07,  5.233045944926856E+00,  1.670999121424586E+01,  2.364235233261691E+01,
2445631.500000000, A.D. 1983-Oct-24 00:00:00.0000,  2.346759826900901E+08,  3.025365309627217E+07,  7.425561666683704E+07,  5.055495644980152E+00,  1.668763261184683E+01,  2.358689459280817E+01,
2445632.500000000, A.D. 1983-Oct-25 00:00:00.0000,  2.351051877497427E+08,  3.169447141920834E+07,  7.629110246170163E+07,  4.880176916897075E+00,  1.666452001154731E+01,  2.353071469450407E+01,
2445633.500000000, A.D. 1983-Oct-26 00:00:00.0000,  2.355193409480118E+08,  3.313326122571607E+07,  7.832170436501190E+07,  4.707069518107749E+00,  1.664068070184294E+01,  2.347384722596301E+01,
2445634.500000000, A.D. 1983-Oct-27 00:00:00.0000,  2.359186324541723E+08,  3.456996088145427E+07,  8.034736442781506E+07,  4.536152790927754E+00,  1.661614126359899E+01,  2.341632574696870E+01,
2445635.500000000, A.D. 1983-Oct-28 00:00:00.0000,  2.363032506362516E+08,  3.600451101847143E+07,  8.236802755701615E+07,  4.367405704282917E+00,  1.659092758044000E+01,  2.335818280893211E+01,
